"동읍면/5세별 주민등록인구"

"C행정구역(동읍면)별","행정구역(동읍면)별","C5세별","5세별","시점","인구 (명)","남 (명)","여 (명)"
'00,"전국",'00,"계",1995,45858029,23041367,22816662
'00,"전국",'05,"0 - 4세",1995,3560232,1894458,1665774
'00,"전국",'10,"5 - 9세",1995,3160362,1665680,1494682
'00,"전국",'15,"10 - 14세",1995,3756882,1940490,1816392
'00,"전국",'20,"15 - 19세",1995,3973023,2040155,1932868
'00,"전국",'25,"20 - 24세",1995,4448814,2282897,2165917
'00,"전국",'30,"25 - 29세",1995,4553489,2333376,2220113
'00,"전국",'35,"30 - 34세",1995,4427762,2283276,2144486
'00,"전국",'40,"35 - 39세",1995,4238738,2177235,2061503
'00,"전국",'45,"40 - 44세",1995,3097028,1584027,1513001
'00,"전국",'50,"45 - 49세",1995,2443531,1246036,1197495
'00,"전국",'55,"50 - 54세",1995,2154038,1063198,1090840
'00,"전국",'60,"55 - 59세",1995,1916529,914835,1001694
'00,"전국",'65,"60 - 64세",1995,1462360,644500,817860
'00,"전국",'70,"65 - 69세",1995,1036219,410663,625556
'00,"전국",'75,"70 - 74세",1995,753638,288804,464834
'00,"전국",'80,"75 - 79세",1995,467967,164118,303849
'00,"전국",'85,"80 - 84세",1995,258559,74803,183756
'00,"전국",'90,"85+ ",1995,148858,32816,116042
'11,"서울특별시",'00,"계",1995,10550871,5302277,5248594
'11,"서울특별시",'05,"0 - 4세",1995,767364,404500,362864
'11,"서울특별시",'10,"5 - 9세",1995,649019,341889,307130
'11,"서울특별시",'15,"10 - 14세",1995,826025,432652,393373
'11,"서울특별시",'20,"15 - 19세",1995,913220,475158,438062
'11,"서울특별시",'25,"20 - 24세",1995,1089340,538147,551193
'11,"서울특별시",'30,"25 - 29세",1995,1180707,610831,569876
'11,"서울특별시",'35,"30 - 34세",1995,1031494,539711,491783
'11,"서울특별시",'40,"35 - 39세",1995,990072,488774,501298
'11,"서울특별시",'45,"40 - 44세",1995,788494,384870,403624
'11,"서울특별시",'50,"45 - 49세",1995,648468,322650,325818
'11,"서울특별시",'55,"50 - 54세",1995,537169,275122,262047
'11,"서울특별시",'60,"55 - 59세",1995,405431,204806,200625
'11,"서울특별시",'65,"60 - 64세",1995,265150,122748,142402
'11,"서울특별시",'70,"65 - 69세",1995,177916,70017,107899
'11,"서울특별시",'75,"70 - 74세",1995,127554,46384,81170
'11,"서울특별시",'80,"75 - 79세",1995,81440,26035,55405
'11,"서울특별시",'85,"80 - 84세",1995,45765,12050,33715
'11,"서울특별시",'90,"85+ ",1995,26243,5933,20310
'11110," 종로구",'00,"계",1995,203086,101960,101126
'11110," 종로구",'05,"0 - 4세",1995,11703,6135,5568
'11110," 종로구",'10,"5 - 9세",1995,10504,5536,4968
'11110," 종로구",'15,"10 - 14세",1995,14039,7475,6564
'11110," 종로구",'20,"15 - 19세",1995,16349,8636,7713
'11110," 종로구",'25,"20 - 24세",1995,22856,11589,11267
'11110," 종로구",'30,"25 - 29세",1995,23737,13105,10632
'11110," 종로구",'35,"30 - 34세",1995,17991,9604,8387
'11110," 종로구",'40,"35 - 39세",1995,17130,8502,8628
'11110," 종로구",'45,"40 - 44세",1995,13922,6646,7276
'11110," 종로구",'50,"45 - 49세",1995,12216,5737,6479
'11110," 종로구",'55,"50 - 54세",1995,12162,5651,6511
'11110," 종로구",'60,"55 - 59세",1995,10582,5121,5461
'11110," 종로구",'65,"60 - 64세",1995,7271,3387,3884
'11110," 종로구",'70,"65 - 69세",1995,4843,2004,2839
'11110," 종로구",'75,"70 - 74세",1995,3514,1463,2051
'11110," 종로구",'80,"75 - 79세",1995,2217,804,1413
'11110," 종로구",'85,"80 - 84세",1995,1270,377,893
'11110," 종로구",'90,"85+ ",1995,780,188,592
'11140," 중구",'00,"계",1995,143138,72132,71006
'11140," 중구",'05,"0 - 4세",1995,8572,4484,4088
'11140," 중구",'10,"5 - 9세",1995,7478,3958,3520
'11140," 중구",'15,"10 - 14세",1995,9260,4749,4511
'11140," 중구",'20,"15 - 19세",1995,10925,5558,5367
'11140," 중구",'25,"20 - 24세",1995,16086,8191,7895
'11140," 중구",'30,"25 - 29세",1995,17209,9586,7623
'11140," 중구",'35,"30 - 34세",1995,13377,7358,6019
'11140," 중구",'40,"35 - 39세",1995,12426,6454,5972
'11140," 중구",'45,"40 - 44세",1995,9451,4665,4786
'11140," 중구",'50,"45 - 49세",1995,8488,4023,4465
'11140," 중구",'55,"50 - 54세",1995,8791,4102,4689
'11140," 중구",'60,"55 - 59세",1995,7227,3456,3771
'11140," 중구",'65,"60 - 64세",1995,5001,2137,2864
'11140," 중구",'70,"65 - 69세",1995,3678,1462,2216
'11140," 중구",'75,"70 - 74세",1995,2462,1026,1436
'11140," 중구",'80,"75 - 79세",1995,1491,555,936
'11140," 중구",'85,"80 - 84세",1995,748,240,508
'11140," 중구",'90,"85+ ",1995,468,128,340
'11170," 용산구",'00,"계",1995,254579,126809,127770
